,PSNR,SSIM,»¼Õß±àºÅ
0,10.452861444568214,0.2761763509929608,36
1,9.069480812849003,0.18969973103630036,37
2,9.831010930172372,0.24081792151991407,38
3,10.636370859815289,0.27341903344740537,39
4,8.889195337842333,0.21910109645773465,40
5,10.55030227774733,0.18938877670150123,41
6,11.66018399628453,0.3537256439605424,43
7,9.981652201951734,0.28593067122900856,44
8,12.35125857557507,0.30254214831530457,45
9,10.110296900135447,0.2545519816206997,47
10,12.021750739720423,0.2667447473612056,49
11,13.478568497539996,0.3542478867193414,52
12,9.684128072292543,0.25533241496875264,54
13,10.79722937828946,0.27763170752248517,55
14,9.954865424729038,0.2849681561268536,56
15,8.532595866175338,0.21128189750767276,57
16,10.544158532052542,0.25640098102255776,58
17,11.391338779019046,0.2617897543781891,60
